Grid Potential  (V), delta Grid Potential (V),Anode Current (mA),delta Anode Current (mA),Grid Current (mA),delta Grid Current (mA)
0.008,0.001,-0.0296,0.0001,-0.0052,0.0001
1.073,0.002,-0.0572,0.0003,-0.0188,0.0001
2.011,0.002,-0.0802,0.0003,-0.0312,0.0001
3.024,0.001,-0.1039,0.0001,-0.0449,0.0001
4.025,0.001,-0.1263,0.0002,-0.0598,0.0001
5.006,0.001,-0.149,0.0001,-0.0752,0.0001
6.032,0.001,-0.1745,0.0001,-0.0916,0.0002
7.015,0.002,-0.2013,0.0001,-0.1078,0.0001
8.016,0.001,-0.231,0.0002,-0.125,0.0001
9.02,0.002,-0.2625,0.0001,-0.1432,0.0001
10.067,0.001,-0.2972,0.0001,-0.1637,0.0001
11.003,0.001,-0.3289,0.0002,-0.1831,0.0001
11.492,0.001,-0.3458,0.0001,-0.1935,0.0001
-1.017,0.001,-0.0061,0.0001,-0.0001,0.0001
-2.024,0.001,-0.0011,0.0001,-0.0001,0.0001
-3.021,0.001,-0.0002,0.0001,-0.0001,0.0001
-4.006,0.001,-0.0001,0.0001,-0.0001,0.0001
-5.01,0.002,-0.0001,0.0001,-0.0001,0.0001
-6.008,0.001,-0.0001,0.0001,-0.0001,0.0001
-7.007,0.001,-0.0001,0.0001,-0.0001,0.0001
-8.015,0.001,-0.0001,0.0001,-0.0001,0.0001
-9.006,0.002,-0.0001,0.0001,-0.0001,0.0001
-10.025,0.001,-0.0001,0.0001,-0.0001,0.0001
-11.006,0.001,-0.0001,0.0001,-0.0001,0.0001
-11.495,0.001,-0.0001,0.0001,-0.0001,0.0001
